run,length,iter,process,time
ompi,1000,1000,10,7.65392
ompi,1000,1000,11,9.40238
ompi,1000,1000,12,8.62105
ompi,1000,1000,14,8.67342
ompi,1000,1000,16,5.56401
ompi,1000,1000,1,9.40296
ompi,1000,1000,2,6.85783
ompi,1000,1000,3,5.49717
ompi,1000,1000,4,9.23752
ompi,1000,1000,5,10.1698
ompi,1000,1000,6,7.03359
ompi,1000,1000,7,7.92844
ompi,1000,1000,8,6.51224
ompi,1000,1000,9,7.9584
ompi,300,1000,10,2.45748
ompi,300,1000,11,3.07298
ompi,300,1000,12,2.53493
ompi,300,1000,14,2.2073
ompi,300,1000,16,3.44954
ompi,300,1000,1,5.50878
ompi,300,1000,2,9.44633
ompi,300,1000,3,2.48342
ompi,300,1000,4,6.71486
ompi,300,1000,5,8.10194
ompi,300,1000,6,2.08201
ompi,300,1000,7,2.04427
ompi,300,1000,8,1.91702
ompi,300,1000,9,2.22468
ompi,400,1000,10,2.5079
ompi,400,1000,11,3.50106
ompi,400,1000,12,3.2365
ompi,400,1000,14,3.23988
ompi,400,1000,16,5.91647
ompi,400,1000,1,4.93719
ompi,400,1000,2,3.2325
ompi,400,1000,3,3.15368
ompi,400,1000,4,5.9422
ompi,400,1000,5,8.89217
ompi,400,1000,6,2.75872
ompi,400,1000,7,3.2027
ompi,400,1000,8,3.11515
ompi,400,1000,9,2.88919
ompi,500,1000,10,3.27972
ompi,500,1000,11,3.07402
ompi,500,1000,12,4.91792
ompi,500,1000,14,4.4769
ompi,500,1000,16,6.22598
ompi,500,1000,1,3.77723
ompi,500,1000,2,4.54882
ompi,500,1000,3,3.33756
ompi,500,1000,4,7.43684
ompi,500,1000,5,8.78746
ompi,500,1000,6,3.13513
ompi,500,1000,7,3.32477
ompi,500,1000,8,3.05696
ompi,500,1000,9,3.02598
ompi,600,1000,10,6.51332
ompi,600,1000,11,4.65733
ompi,600,1000,12,6.09204
ompi,600,1000,14,9.36041
ompi,600,1000,16,4.26629
ompi,600,1000,1,4.09388
ompi,600,1000,2,6.8867
ompi,600,1000,3,5.69656
ompi,600,1000,4,7.24991
ompi,600,1000,5,8.50686
ompi,600,1000,6,3.33257
ompi,600,1000,7,3.64798
ompi,600,1000,8,3.42626
ompi,600,1000,9,4.65826
ompi,100,4961,8,10.3575
ompi,100,4961,1,118.409
ompi,100,4961,10,15.9261
ompi,100,4961,11,15.1488
ompi,100,4961,12,13.2526
ompi,100,4961,14,17.0185
ompi,100,4961,16,16.8586
ompi,100,4961,2,54.5403
ompi,100,4961,3,23.6597
ompi,100,4961,4,38.1358
ompi,100,4961,5,41.6749
ompi,100,4961,6,13.7886
ompi,100,4961,7,19.3738
ompi,100,4961,9,14.9513
ompi,200,9890,10,35.2956
ompi,200,9890,11,39.6822
ompi,200,9890,12,42.8834
ompi,200,9890,14,44.5207
ompi,200,9890,16,58.5929
ompi,200,9890,1,217.883
ompi,200,9890,2,191.646
ompi,200,9890,3,209.076
ompi,200,9890,4,124.365
ompi,200,9890,5,95.7393
ompi,200,9890,6,160.667
ompi,200,9890,7,165.019
ompi,200,9890,8,132.735
ompi,200,9890,9,100.138
ompi,50,1901,10,15.0098
ompi,50,1901,11,12.8525
ompi,50,1901,12,7.47173
ompi,50,1901,14,7.12847
ompi,50,1901,16,11.5155
ompi,50,1901,1,36.6899
ompi,50,1901,2,19.9523
ompi,50,1901,3,14.2857
ompi,50,1901,4,17.8937
ompi,50,1901,5,17.2697
ompi,50,1901,6,10.9085
ompi,50,1901,7,10.4823
ompi,50,1901,8,13.6508
ompi,50,1901,9,18.2108