run,length,iter,process,time
mpi,300,1000,1,1.02234
mpi,400,1000,1,1.81926
mpi,600,1000,2,2.12452
mpi,500,1000,1,3.06123
mpi,1000,1000,1,12.1683
mpi,300,1000,2,0.532248
mpi,400,1000,2,0.931106
mpi,500,1000,2,1.54849
mpi,600,1000,1,4.1579
mpi,1000,1000,2,6.16624
mpi,300,1000,1,1.0349
mpi,300,1000,2,0.528319
mpi,300,1000,3,0.373844
mpi,300,1000,4,0.296111
mpi,300,1000,5,0.312705
mpi,300,1000,6,0.314247
mpi,300,1000,7,0.294495
mpi,300,1000,8,0.266222
mpi,300,1000,9,0.279111
mpi,300,1000,10,0.286813
mpi,300,1000,11,0.28952
mpi,300,1000,12,0.290313
mpi,300,1000,14,0.317241
mpi,300,1000,16,0.319827
mpi,400,1000,1,1.82288
mpi,400,1000,2,0.930906
mpi,400,1000,3,0.715859
mpi,400,1000,4,0.556762
mpi,400,1000,5,0.565312
mpi,400,1000,6,0.5521
mpi,400,1000,7,0.515205
mpi,400,1000,8,0.468074
mpi,400,1000,9,0.475148
mpi,400,1000,10,0.48284
mpi,400,1000,11,0.492657
mpi,400,1000,12,0.495408
mpi,400,1000,14,0.519889
mpi,400,1000,16,0.538177
mpi,500,1000,1,3.25016
mpi,500,1000,2,1.62715
mpi,500,1000,3,1.08861
mpi,500,1000,4,0.888491
mpi,500,1000,5,1.09266
mpi,500,1000,6,1.0529
mpi,500,1000,7,1.49268
mpi,500,1000,8,1.48111
mpi,500,1000,9,1.23143
mpi,500,1000,10,1.48362
mpi,500,1000,11,1.30869
mpi,500,1000,12,1.06792
mpi,500,1000,14,1.05518
mpi,500,1000,16,1.48035
mpi,600,1000,1,4.14933
mpi,600,1000,2,2.11973
mpi,600,1000,3,1.44198
mpi,600,1000,4,1.12377
mpi,600,1000,5,1.24835
mpi,600,1000,6,1.21298
mpi,600,1000,7,1.12855
mpi,600,1000,8,1.03602
mpi,600,1000,9,1.02718
mpi,600,1000,10,1.0323
mpi,600,1000,11,1.07319
mpi,600,1000,12,1.05946
mpi,600,1000,14,1.09058
mpi,600,1000,16,1.10777
mpi,1000,1000,1,12.556
mpi,1000,1000,2,6.16
mpi,1000,1000,3,4.21102
mpi,1000,1000,4,3.26173
mpi,1000,1000,5,3.60039
mpi,1000,1000,6,3.42322
mpi,1000,1000,7,3.23759
mpi,1000,1000,8,3.04607
mpi,1000,1000,9,3.02725
mpi,1000,1000,10,3.03334
mpi,1000,1000,11,3.04631
mpi,1000,1000,12,3.08086
mpi,1000,1000,14,3.13341
mpi,1000,1000,16,3.16161
pth,300,1000,1,1.39427
pth,400,1000,1,2.34865
pth,500,1000,1,3.65023
pth,600,1000,1,4.99385
pth,1000,1000,1,16.6074
pth,300,1000,2,0.925595
pth,400,1000,2,1.51178
pth,500,1000,2,2.16054
pth,600,1000,2,2.91233
pth,1000,1000,2,8.99975
pth,300,1000,3,0.897372
pth,400,1000,3,1.16969
pth,500,1000,3,1.69645
pth,600,1000,3,2.18597
pth,1000,1000,3,7.53067
pth,300,1000,4,0.898615
pth,400,1000,4,1.16465
pth,500,1000,4,1.58754
pth,600,1000,4,2.14933
pth,1000,1000,4,5.62487
pth,300,1000,5,0.682873
pth,400,1000,5,1.03045
pth,500,1000,5,1.46434
pth,600,1000,5,1.84895
pth,1000,1000,5,4.39691
pth,300,1000,6,0.65453
pth,400,1000,6,0.987274
pth,500,1000,6,1.34819
pth,600,1000,6,1.75041
pth,1000,1000,6,4.16418
pth,300,1000,7,0.639105
pth,400,1000,7,0.956363
pth,500,1000,7,1.30437
pth,600,1000,7,1.70721
pth,1000,1000,7,4.57561
pth,300,1000,8,0.619402
pth,400,1000,8,0.920354
pth,500,1000,8,1.2788
pth,600,1000,8,1.65715
pth,1000,1000,8,4.27018
pth,300,1000,9,0.631986
pth,400,1000,9,0.911825
pth,500,1000,9,1.24985
pth,600,1000,9,1.71695
pth,1000,1000,9,4.92589
pth,300,1000,10,0.629832
pth,400,1000,10,0.899786
pth,500,1000,10,1.22998
pth,600,1000,10,1.67664
pth,1000,1000,10,4.63064
pth,300,1000,11,0.622995
pth,400,1000,11,0.853944
pth,500,1000,11,1.21218
pth,600,1000,11,1.57131
pth,1000,1000,11,4.10933
pth,300,1000,12,0.650189
pth,400,1000,12,0.898973
pth,500,1000,12,1.15392
pth,600,1000,12,1.53716
pth,1000,1000,12,3.76821
pth,300,1000,14,0.654209
pth,400,1000,14,0.915052
pth,500,1000,14,1.19305
pth,600,1000,14,1.56552
pth,1000,1000,14,3.72297
pth,300,1000,16,0.649271
pth,400,1000,16,0.915121
pth,500,1000,16,1.25783
pth,600,1000,16,1.56646
pth,1000,1000,16,3.82184
omp,300,1000,1,1.33127
omp,400,1000,1,2.28591
omp,500,1000,1,3.55064
omp,600,1000,1,4.93477
omp,1000,1000,1,15.6278
omp,300,1000,2,0.784353
omp,400,1000,2,1.31822
omp,500,1000,2,1.99124
omp,600,1000,2,2.70605
omp,1000,1000,2,8.05962
omp,300,1000,3,0.59893
omp,400,1000,3,0.980407
omp,500,1000,3,1.48623
omp,600,1000,3,1.96755
omp,1000,1000,3,5.84841
omp,300,1000,4,0.520624
omp,400,1000,4,0.847866
omp,500,1000,4,1.2495
omp,600,1000,4,1.69669
omp,1000,1000,4,4.70336
omp,300,1000,5,0.563726
omp,400,1000,5,0.820273
omp,500,1000,5,1.21795
omp,600,1000,5,1.5298
omp,1000,1000,5,4.75123
omp,300,1000,6,0.479853
omp,400,1000,6,0.749482
omp,500,1000,6,1.09818
omp,600,1000,6,1.45041
omp,1000,1000,6,4.34746
omp,300,1000,7,0.457841
omp,400,1000,7,0.734087
omp,500,1000,7,1.04311
omp,600,1000,7,1.43205
omp,1000,1000,7,4.07077
omp,300,1000,8,0.449114
omp,400,1000,8,0.714427
omp,500,1000,8,1.05269
omp,600,1000,8,1.40841
omp,1000,1000,8,4.0019
omp,300,1000,9,0.480462
omp,400,1000,9,0.806647
omp,500,1000,9,1.26767
omp,600,1000,9,1.68744
omp,1000,1000,9,4.79925
omp,300,1000,10,0.530151
omp,400,1000,10,0.840897
omp,500,1000,10,1.22947
omp,600,1000,10,1.63574
omp,1000,1000,10,4.80436
omp,300,1000,11,0.492911
omp,400,1000,11,0.786993
omp,500,1000,11,1.16412
omp,600,1000,11,1.5413
omp,1000,1000,11,4.4627
omp,300,1000,12,0.464482
omp,400,1000,12,0.76565
omp,500,1000,12,1.12579
omp,600,1000,12,1.50657
omp,1000,1000,12,4.30125
omp,300,1000,14,0.4442
omp,400,1000,14,0.724128
omp,500,1000,14,1.05861
omp,600,1000,14,1.41773
omp,1000,1000,14,4.24059
omp,300,1000,16,0.434236
omp,400,1000,16,0.71615
omp,500,1000,16,1.03988
omp,600,1000,16,1.38879
omp,1000,1000,16,4.02464
ompi,300,1000,1,0.293015
ompi,400,1000,1,0.494561
ompi,500,1000,1,0.784823
ompi,600,1000,1,1.05601
ompi,1000,1000,1,2.96712
ompi,300,1000,2,0.296557
ompi,400,1000,2,0.515596
ompi,500,1000,2,0.752753
ompi,600,1000,2,1.0435
ompi,1000,1000,2,2.99227
ompi,300,1000,3,0.31555
ompi,400,1000,3,0.518377
ompi,500,1000,3,0.757616
ompi,600,1000,3,1.04505
ompi,1000,1000,3,2.93045
ompi,300,1000,4,0.311007
ompi,400,1000,4,0.507689
ompi,500,1000,4,0.774048
ompi,600,1000,4,1.05395
ompi,1000,1000,4,2.91392
ompi,300,1000,5,0.310234
ompi,400,1000,5,0.511376
ompi,500,1000,5,0.771534
ompi,600,1000,5,1.06828
ompi,1000,1000,5,2.95452
ompi,300,1000,6,0.307959
ompi,400,1000,6,0.531613
ompi,500,1000,6,0.750623
ompi,600,1000,6,1.05067
ompi,1000,1000,6,3.06157
ompi,300,1000,7,0.309915
ompi,400,1000,7,0.52861
ompi,500,1000,7,0.932346
ompi,600,1000,7,1.18375
ompi,1000,1000,7,3.18388
ompi,300,1000,8,0.321034
ompi,400,1000,8,0.539169
ompi,500,1000,8,0.812442
ompi,600,1000,8,1.12208
ompi,1000,1000,8,3.07317
ompi,300,1000,9,0.306016
ompi,400,1000,9,0.528535
ompi,500,1000,9,0.807269
ompi,600,1000,9,1.10829
ompi,1000,1000,9,3.05742
ompi,300,1000,10,0.323475
ompi,400,1000,10,0.540269
ompi,500,1000,10,0.789026
ompi,600,1000,10,1.06933
ompi,1000,1000,10,2.98308
ompi,300,1000,11,0.303723
ompi,400,1000,11,0.527288
ompi,500,1000,11,0.761688
ompi,600,1000,11,1.0623
ompi,1000,1000,11,3.08094
ompi,300,1000,12,0.315111
ompi,400,1000,12,0.521621
ompi,500,1000,12,0.812473
ompi,600,1000,12,1.09764
ompi,1000,1000,12,3.04555
ompi,300,1000,14,0.319229
ompi,400,1000,14,0.519325
ompi,500,1000,14,0.770876
ompi,600,1000,14,1.08817
ompi,1000,1000,14,2.99048
ompi,300,1000,16,0.324814
ompi,400,1000,16,0.656459
ompi,500,1000,16,0.914902
ompi,600,1000,16,1.13425
ompi,1000,1000,16,2.99327
seq,50,1000,1,0.02754
seq,300,1000,1,1.89922
seq,300,1000,1,1.91856
seq,300,1000,1,1.92796
seq,300,1000,1,1.95095
seq,400,1000,1,2.84183
seq,400,1000,1,2.85082
seq,400,1000,1,2.84979
seq,400,1000,1,2.87011
seq,500,1000,1,3.97366
seq,500,1000,1,3.97187
seq,500,1000,1,3.97532
seq,500,1000,1,3.98693
seq,600,1000,1,6.36212
seq,600,1000,1,6.37953
seq,600,1000,1,6.39463
seq,600,1000,1,6.40538
seq,300,1000,1,1.31157
seq,300,1000,1,1.31633
seq,300,1000,1,1.31675
seq,300,1000,1,1.32459
seq,400,1000,1,3.1212
seq,400,1000,1,3.1223
seq,400,1000,1,3.13159
seq,400,1000,1,3.14946
seq,500,1000,1,3.76793
seq,500,1000,1,3.75442
seq,500,1000,1,3.76239
seq,500,1000,1,3.77896
seq,600,1000,1,6.5485
seq,600,1000,1,6.55348
seq,600,1000,1,6.57028
seq,600,1000,1,6.57114
seq,1000,1000,1,20.2749
seq,1000,1000,1,20.278
seq,1000,1000,1,20.3005
seq,1000,1000,1,20.3352
seq,50,1000,1,0.028125
seq,50,1000,1,0.028747
seq,50,1000,1,0.028684
seq,50,1000,1,0.028996
seq,100,1000,1,0.120083
seq,100,1000,1,0.120787
seq,100,1000,1,0.129652
seq,100,1000,1,0.133633
seq,200,1000,1,0.538018
seq,200,1000,1,0.561859
seq,200,1000,1,0.56204
seq,200,1000,1,0.579451
ompi,50,1000,1,0.029862
ompi,100,1000,1,0.048531
ompi,200,1000,1,0.178266
ompi,50,1000,2,0.043995
ompi,100,1000,2,0.066235
ompi,200,1000,2,0.16719
ompi,50,1000,3,0.050321
ompi,100,1000,3,0.070043
ompi,200,1000,3,0.177063
ompi,50,1000,4,0.059008
ompi,100,1000,4,0.078305
ompi,200,1000,4,0.176904
ompi,50,1000,5,0.070457
ompi,100,1000,5,0.089284
ompi,200,1000,5,0.183163
ompi,50,1000,6,0.080527
ompi,100,1000,6,0.103872
ompi,200,1000,6,0.19407
ompi,50,1000,7,0.092253
ompi,100,1000,7,0.109582
ompi,200,1000,7,0.201378
ompi,50,1000,8,0.102074
ompi,100,1000,8,0.123955
ompi,200,1000,8,0.211757
ompi,50,1000,9,0.113727
ompi,100,1000,9,0.135172
ompi,200,1000,9,0.216508
ompi,50,1000,10,0.124651
ompi,100,1000,10,0.144208
ompi,200,1000,10,0.228837
ompi,50,1000,11,0.139407
ompi,100,1000,11,0.155682
ompi,200,1000,11,0.232562
ompi,50,1000,12,0.148153
ompi,100,1000,12,0.16514
ompi,200,1000,12,0.246088
ompi,50,1000,14,0.15891
ompi,100,1000,14,0.174774
ompi,200,1000,14,0.261684
ompi,50,1000,16,0.186076
ompi,100,1000,16,0.205691
ompi,200,1000,16,0.285367
mpi,50,1000,1,0.027739
mpi,100,1000,1,0.109688
mpi,200,1000,1,0.447901
mpi,50,1000,2,0.018457
mpi,100,1000,2,0.064859
mpi,200,1000,2,0.230961
mpi,50,1000,3,0.027318
mpi,100,1000,3,0.055153
mpi,200,1000,3,0.171533
mpi,50,1000,4,0.022781
mpi,100,1000,4,0.054457
mpi,200,1000,4,0.13966
mpi,50,1000,5,0.024887
mpi,100,1000,5,0.0478
mpi,200,1000,5,0.156338
mpi,50,1000,6,0.022996
mpi,100,1000,6,0.047829
mpi,200,1000,6,0.164426
mpi,50,1000,7,0.023581
mpi,100,1000,7,0.055393
mpi,200,1000,7,0.136633
mpi,50,1000,8,0.022491
mpi,100,1000,8,0.053036
mpi,200,1000,8,0.129494
mpi,50,1000,9,0.02554
mpi,100,1000,9,0.04534
mpi,200,1000,9,0.135443
mpi,50,1000,10,0.026089
mpi,100,1000,10,0.05075
mpi,200,1000,10,0.144041
mpi,50,1000,11,0.036551
mpi,100,1000,11,0.052321
mpi,200,1000,11,0.182708
mpi,50,1000,12,0.029211
mpi,100,1000,12,0.061287
mpi,200,1000,12,0.158851
mpi,50,1000,14,0.036454
mpi,100,1000,14,0.062602
mpi,200,1000,14,0.192776
mpi,50,1000,16,0.043786
mpi,100,1000,16,0.106075
mpi,200,1000,16,0.202835
pth,50,1000,1,0.08393
pth,100,1000,1,0.143086
pth,200,1000,1,0.539362
pth,50,1000,2,0.057797
pth,100,1000,2,0.139813
pth,200,1000,2,0.401458
pth,50,1000,3,0.062025
pth,100,1000,3,0.138444
pth,200,1000,3,0.334638
pth,50,1000,4,0.068354
pth,100,1000,4,0.143824
pth,200,1000,4,0.313626
pth,50,1000,5,0.067857
pth,100,1000,5,0.142845
pth,200,1000,5,0.308058
pth,50,1000,6,0.078084
pth,100,1000,6,0.148049
pth,200,1000,6,0.309573
pth,50,1000,7,0.084699
pth,100,1000,7,0.152098
pth,200,1000,7,0.318652
pth,50,1000,8,0.111126
pth,100,1000,8,0.159892
pth,200,1000,8,0.320775
pth,50,1000,9,0.114473
pth,100,1000,9,0.161599
pth,200,1000,9,0.331959
pth,50,1000,10,0.12616
pth,100,1000,10,0.163657
pth,200,1000,10,0.333605
pth,50,1000,11,0.13663
pth,100,1000,11,0.168815
pth,200,1000,11,0.343129
pth,50,1000,12,0.147176
pth,100,1000,12,0.176116
pth,200,1000,12,0.363399
pth,50,1000,14,0.167974
pth,100,1000,14,0.194465
pth,200,1000,14,0.348821
pth,50,1000,16,0.190082
pth,100,1000,16,0.212986
pth,200,1000,16,0.360623
omp,50,1000,1,0.028081
omp,100,1000,1,0.112335
omp,200,1000,1,0.486866
omp,50,1000,2,0.028233
omp,100,1000,2,0.077105
omp,200,1000,2,0.309261
omp,50,1000,3,0.032949
omp,100,1000,3,0.060473
omp,200,1000,3,0.214369
omp,50,1000,4,0.027665
omp,100,1000,4,0.058548
omp,200,1000,4,0.179591
omp,50,1000,5,0.032374
omp,100,1000,5,0.065386
omp,200,1000,5,0.200648
omp,50,1000,6,0.03449
omp,100,1000,6,0.06257
omp,200,1000,6,0.177868
omp,50,1000,7,0.036445
omp,100,1000,7,0.061462
omp,200,1000,7,0.176831
omp,50,1000,8,0.037344
omp,100,1000,8,0.062342
omp,200,1000,8,0.166151
omp,50,1000,9,0.03916
omp,100,1000,9,0.066511
omp,200,1000,9,0.184744
omp,50,1000,10,0.041538
omp,100,1000,10,0.066519
omp,200,1000,10,0.198657
omp,50,1000,11,0.044845
omp,100,1000,11,0.06733
omp,200,1000,11,0.192579
omp,50,1000,12,0.046704
omp,100,1000,12,0.072875
omp,200,1000,12,0.185813
omp,50,1000,14,0.057274
omp,100,1000,14,0.077998
omp,200,1000,14,0.188058
omp,50,1000,16,0.055646
omp,100,1000,16,0.08331
omp,200,1000,16,0.183749
seq,50,1000,1,0.027875
seq,100,1000,1,0.111562
seq,200,1000,1,0.496689
seq,300,1000,1,1.24609
seq,400,1000,1,2.14561
seq,500,1000,1,3.41588
seq,600,1000,1,4.5658
seq,1000,1000,1,15.9534
seq,50,1000,2,0.029376
seq,100,1000,2,0.118286
seq,200,1000,2,0.513388
seq,300,1000,2,1.23251
seq,400,1000,2,2.26388
seq,500,1000,2,3.4228
seq,600,1000,2,4.63727
seq,1000,1000,2,15.3238
seq,50,1000,3,0.028968
seq,100,1000,3,0.110433
seq,200,1000,3,0.500461
seq,300,1000,3,1.25235
seq,400,1000,3,2.30247
seq,500,1000,3,3.51165
seq,600,1000,3,5.04527
seq,1000,1000,3,20.2264
seq,50,1000,4,0.027562
seq,100,1000,4,0.11504
seq,200,1000,4,0.521363
seq,300,1000,4,1.3215
seq,400,1000,4,2.25684
seq,500,1000,4,3.49548
seq,600,1000,4,4.93238
seq,1000,1000,4,16.6461
seq,50,1000,5,0.028004
seq,100,1000,5,0.112646
seq,200,1000,5,0.499171
seq,300,1000,5,1.30737
seq,400,1000,5,2.28097
seq,500,1000,5,3.54502
seq,600,1000,5,5.00957
seq,1000,1000,5,15.5672
seq,50,1000,6,0.036169
seq,100,1000,6,0.121586
seq,200,1000,6,0.936845
seq,300,1000,6,1.66936
seq,400,1000,6,2.25622
seq,500,1000,6,3.42483
seq,600,1000,6,4.60936
seq,1000,1000,6,14.9969
seq,50,1000,7,0.026825
seq,100,1000,7,0.111644
seq,200,1000,7,0.493371
seq,300,1000,7,1.23795
seq,400,1000,7,2.14917
seq,500,1000,7,3.34161
seq,600,1000,7,4.52912
seq,1000,1000,7,14.0586
seq,50,1000,8,0.026394
seq,100,1000,8,0.111296
seq,200,1000,8,0.501199
seq,300,1000,8,1.23311
seq,400,1000,8,2.08937
seq,500,1000,8,3.28497
seq,600,1000,8,4.55093
seq,1000,1000,8,14.447
seq,50,1000,9,0.027963
seq,100,1000,9,0.113097
seq,200,1000,9,0.489096
seq,300,1000,9,1.24205
seq,400,1000,9,2.13528
seq,500,1000,9,3.34886
seq,600,1000,9,4.57618
seq,1000,1000,9,14.4022
seq,50,1000,10,0.0282
seq,100,1000,10,0.112269
seq,200,1000,10,0.504981
seq,300,1000,10,1.24069
seq,400,1000,10,2.13141
seq,500,1000,10,3.35821
seq,600,1000,10,4.50465
seq,1000,1000,10,13.9907
seq,50,1000,11,0.027946
seq,100,1000,11,0.110835
seq,200,1000,11,0.480368
seq,300,1000,11,1.21463
seq,400,1000,11,2.0969
seq,500,1000,11,3.29973
seq,600,1000,11,4.49197
seq,1000,1000,11,13.7853
seq,50,1000,12,0.027113
seq,100,1000,12,0.111373
seq,200,1000,12,0.481734
seq,300,1000,12,1.21648
seq,400,1000,12,2.18785
seq,500,1000,12,3.30379
seq,600,1000,12,4.49744
seq,1000,1000,12,13.7293
seq,50,1000,14,0.026403
seq,100,1000,14,0.111633
seq,200,1000,14,0.479312
seq,300,1000,14,1.21595
seq,400,1000,14,2.08675
seq,500,1000,14,3.32408
seq,600,1000,14,4.52914
seq,1000,1000,14,13.7405
seq,50,1000,16,0.026643
seq,100,1000,16,0.112081
seq,200,1000,16,0.484539
seq,300,1000,16,1.21569
seq,400,1000,16,2.09104
seq,500,1000,16,3.29482
seq,600,1000,16,4.62356
seq,1000,1000,16,13.9763